phecode,rank,description,group,cases,ctrls,total,case_p,LR_AUCROC,RF_AUCROC,XGB_AUCROC,P2V_AUCROC,WP2V_AUCROC,LR_F1,RF_F1,XGB_F1,P2V_F1,WP2V_F1,LR_AUCPR,RF_AUCPR,XGB_AUCPR,P2V_AUCPR,WP2V_AUCPR
phecode_401,1,Hypertension,circulatory system,4306,3169,7475,0.5760535117056856,0.7546537953790544,0.8190966020562607,0.8081726327140912,0.7040441845506453,0.7808576104650395,0.7683683301632408,0.8124679349942506,0.806492666324156,0.7506276333624895,0.8053273507311559,0.7882210184998638,0.8341654038856672,0.8251952014739586,0.74110187493778,0.7872988127512127
phecode_401.1,2,Essential hypertension,circulatory system,2767,3169,5936,0.4661388140161725,0.7401868355792199,0.8081295700297223,0.7998125034189748,0.6450389307270108,0.7199921591510001,0.6964760482143906,0.7433200271458538,0.7382618001095568,0.6495766221406056,0.7199727257097619,0.6858091339155132,0.7599476506147175,0.747553926880974,0.6028718035345856,0.6531008729703337
phecode_585,3,Renal failure,genitourinary,3101,4201,7302,0.42467817036428374,0.7593192704588494,0.8172493924633231,0.8048018182984309,0.7771923105604128,0.7769780194319674,0.6626330341977652,0.7031153461799343,0.6949293786197372,0.6785180288126078,0.7050020771786933,0.7367902390708301,0.7922560344500597,0.7874622552522609,0.7479932966448515,0.6714596791531817
phecode_427,4,Cardiac dysrhythmias,circulatory system,2941,4293,7234,0.4065523914846558,0.7733288382094188,0.8251660499196228,0.8146633232401495,0.7706843089989763,0.7834396848621556,0.6676901207954935,0.7163827011293715,0.7017624901685593,0.6675230202329107,0.710598128650324,0.7337090005364397,0.7981166859463339,0.7950238704459758,0.7173267631885919,0.6851426667788283
phecode_428,5,Congestive heart failure; nonhypertensive,circulatory system,2723,4630,7353,0.3703250373997008,0.816897999701874,0.8638840099840471,0.8607658347684608,0.8268921640453786,0.8446150211066814,0.6915473749652968,0.7424646721760515,0.7365745578035797,0.6961341361924854,0.742533331519967,0.7459841276415421,0.7841574565615651,0.7920571572590169,0.7366056128418106,0.7213105088338063
phecode_411,6,Ischemic Heart Disease,circulatory system,2713,4746,7459,0.3637216785091835,0.8629429708638792,0.9058795196886119,0.9046199708648108,0.8410412398634727,0.8703121676214326,0.7555884802517663,0.8094356482352484,0.8083179141450674,0.7124926173973648,0.8193701062201382,0.7952494604606662,0.8570104919075677,0.8561626633444692,0.7251404924365781,0.7033512636761983
phecode_428.1,7,Congestive heart failure (CHF) NOS,circulatory system,2638,4630,7268,0.36296092460099066,0.81515962907956,0.8598809229454213,0.8596399360075455,0.8178262542635709,0.8396402143779976,0.6867940205278085,0.734409879572222,0.7314696465799347,0.6812694562322531,0.7283245794905093,0.7387941672676744,0.7763034175984906,0.7866147227381709,0.7213800401409729,0.7103235077473942
phecode_427.2,8,Atrial fibrillation and flutter,circulatory system,2269,4293,6562,0.3457787259981713,0.8471195541776354,0.8846210981822809,0.8820529414057932,0.8368285221259456,0.8705167952824246,0.7241886420774417,0.7761878748951808,0.7638382311085208,0.7014261950524098,0.7740605514781925,0.7885755008347166,0.83333877575692,0.8372160132930112,0.760874102242014,0.7812385153754775
phecode_585.1,9,Acute renal failure,genitourinary,2205,4201,6406,0.34420855448017484,0.7030113666030466,0.7682806356943527,0.7526627651729112,0.7422946720963078,0.7290962340171304,0.5660075515449179,0.6117998777607256,0.6018021686907118,0.5955828667599354,0.5880460339199952,0.592181985752676,0.6602421061381651,0.6502368347312045,0.6128891627374472,0.5562959094059972
phecode_427.21,10,Atrial fibrillation,circulatory system,2182,4293,6475,0.33698841698841697,0.8543067149310295,0.890337657003975,0.8857107545027978,0.8265254482946169,0.8719685601421121,0.7302675127307388,0.780405680571417,0.7712345933184651,0.6870781676270467,0.7749518370648008,0.7932411875141748,0.8351010220639348,0.835808131133535,0.7413757636345382,0.7850305788536036
phecode_411.4,11,Coronary atherosclerosis,circulatory system,2369,4746,7115,0.33295853829936756,0.8936699259069596,0.929266270863672,0.9285312081593028,0.7686858309284657,0.8466936936456372,0.7840049453328357,0.830473387436445,0.8315620369757807,0.6161090829226469,0.8129449875050001,0.8190970809461898,0.8726235272278985,0.8727705504729008,0.6471073261489526,0.7830239797525207
phecode_250,12,Diabetes mellitus,endocrine/metabolic,2420,4984,7404,0.3268503511615343,0.9166227133438574,0.9387510778292188,0.9408810341854263,0.8579554077179206,0.9190258413700702,0.8198131004532466,0.8682864309948057,0.8658509817940903,0.7206421224543188,0.8677995488911315,0.8637692153749521,0.8979668251991303,0.8987896503116641,0.7688424660362779,0.8191818067186385
phecode_401.2,13,Hypertensive heart and/or renal disease,circulatory system,1531,3169,4700,0.32574468085106384,0.8503614993699088,0.9022609565854824,0.8992901384553295,0.8231235225803263,0.856624852772813,0.7056493194534865,0.7546426740996395,0.7562057069056188,0.6736837239415068,0.7291429951401209,0.7519188075045855,0.8149476122865306,0.8069951316485294,0.6993128627803422,0.7511311332626528
phecode_401.22,14,Hypertensive chronic kidney disease,circulatory system,1493,3169,4662,0.32024882024882023,0.8520968416251757,0.9001088687029928,0.9004057027267852,0.8255762059805996,0.8553446593946765,0.7045520971362841,0.7489547230440639,0.7512785144887733,0.6766067668129061,0.7230276419177527,0.7464132720577908,0.8069248458734353,0.805818778435966,0.6993490769507428,0.7432310202115866
phecode_276,15,"Disorders of fluid, electrolyte, and acid-base balance",endocrine/metabolic,2131,4800,6931,0.3074592410907517,0.5591011569731082,0.631453623358349,0.5985009771732333,0.6057218378674172,0.6135020129768605,0.47080231339927536,0.49980111615188344,0.48095300248285794,0.482437336133633,0.48912484453563465,0.3656234717479501,0.40769989348785607,0.38892970128957727,0.3983812914485997,0.3826747183913567
phecode_285,16,Other anemias,hematopoietic,2123,4800,6923,0.3066589628773653,0.5697947857815443,0.6384153719397364,0.6119331450094162,0.5981612915881984,0.639013614249843,0.47044324575539465,0.49703801527157476,0.4868862076312211,0.4781476219140106,0.5003524881487595,0.38110978756966657,0.42719252494070165,0.40306866224990756,0.3954295551490847,0.41531712050365555
phecode_509,17,"Respiratory failure, insufficiency, arrest",respiratory,2042,4623,6665,0.30637659414853713,0.6407676255384334,0.7039979420067849,0.6904643278351843,0.6614317752796803,0.6805750519370046,0.4931856995128364,0.5325681307845895,0.526542471746986,0.5043860359723725,0.5288588965357608,0.46251845372247674,0.5182373534512026,0.5096421989963256,0.48024766621759063,0.4680248061032563
phecode_250.2,18,Type 2 diabetes,endocrine/metabolic,2102,4984,7086,0.29664126446514255,0.9102735795458884,0.9341508622072077,0.937534553959922,0.7983353391175263,0.9086113049866137,0.7990645276488016,0.8535109784458628,0.8502218018770096,0.6132482576948058,0.8458463012247299,0.8344768857231315,0.8768962843925229,0.8772911082659122,0.6572831573092602,0.7997485640478488
phecode_272.1,19,Hyperlipidemia,endocrine/metabolic,2166,5309,7475,0.2897658862876254,0.7488783163181022,0.8237373689948928,0.815270130922509,0.6945415625494502,0.7993878342401748,0.5750666107277312,0.6548790505242238,0.6466299678212281,0.5207074369567001,0.6605445590474159,0.5340176156012622,0.6164138628374378,0.6040893166031003,0.4578232049836647,0.6063528611393872
phecode_272,20,Disorders of lipoid metabolism,endocrine/metabolic,2166,5309,7475,0.2897658862876254,0.7488783163181022,0.8237373689948928,0.815270130922509,0.7098217443698452,0.79921488228451,0.5750666107277312,0.6548790505242238,0.6466299678212281,0.5307669419684944,0.660931440803439,0.5340176156012622,0.6164138628374378,0.6040893166031003,0.4758116206812588,0.6083890670109311
phecode_585.3,21,Chronic renal failure [CKD],genitourinary,1672,4201,5873,0.2846926613315171,0.872857166443867,0.904967701641278,0.9070386851556219,0.8275071223773596,0.8871990211997477,0.7322817994090383,0.7653666577210138,0.7687128729399783,0.6529584148006281,0.763175162062287,0.8033306800963029,0.8394691170948905,0.8430321985799178,0.7085350299691502,0.7751679227647434
phecode_509.1,22,Respiratory failure,respiratory,1598,4623,6221,0.25687188554894713,0.651097311301757,0.7194368447150634,0.702318642247446,0.6610793769027894,0.6927988489071547,0.45333416196574033,0.5022822648238832,0.49291271414408366,0.4547942171797706,0.49575260458391057,0.429186453247706,0.48835141925379255,0.47252435299879697,0.4417416512634001,0.43586314999750214
phecode_038,23,Septicemia,infectious diseases,1653,5239,6892,0.23984329657574,0.6042327875056537,0.6882861810831018,0.6517563713228167,0.67479734532062,0.6822905840110027,0.4051184803585763,0.45726284813589957,0.4351800561208975,0.45287330815214255,0.46118377253698806,0.3491295660059051,0.40883121189537663,0.3843604593574777,0.40235542336664953,0.3912959443556153
phecode_276.1,24,Electrolyte imbalance,endocrine/metabolic,1488,4800,6288,0.2366412213740458,0.5665143369175627,0.6599261032706093,0.6163001512096774,0.6367999551971326,0.65627396953405015,0.384239178759481,0.4404582997138163,0.4116081055202375,0.42680683731967656,0.4424708785756903,0.29974618200532527,0.35254981251097717,0.3248874993723994,0.34951080420092917,0.3597125315746129
phecode_411.2,25,Myocardial infarction,circulatory system,1215,4746,5961,0.2038248616004026,0.856082649932353,0.8996222580788253,0.896021753776033,0.8314004729744715,0.8930735993745426,0.6741121027106215,0.7368439634419104,0.7338670768014361,0.5897154584976191,0.7327089053991821,0.6748307988743383,0.7707882462308815,0.7713811253545639,0.6199832201148752,0.7324654774458217
phecode_530,26,Diseases of esophagus,digestive,1382,5974,7356,0.187873844480696,0.6998379616059364,0.749311730475088,0.7417026119455412,0.6883372569121281,0.7585244695174507,0.4414102515240607,0.5400689946502257,0.507444763331548,0.4122901311783179,0.5574620033122039,0.3942751562111484,0.47472487120649554,0.4686063501986547,0.36560073412585453,0.4617262983883742
phecode_276.4,27,Acid-base balance disorder,endocrine/metabolic,1092,4800,5892,0.18533604887983707,0.5624253663003663,0.6351854777167277,0.5895635302197803,0.5913849206349207,0.6136668192918193,0.3196919042352603,0.36274174751872834,0.33563810886013,0.3344953897449747,0.34732691288739925,0.2359444028764829,0.26712716213203364,0.24751339395042884,0.2568820337173891,0.27566149331611384
phecode_480,28,Pneumonia,respiratory,1367,6080,7447,0.18356385121525445,0.5825894025084641,0.6491671956755924,0.6197571608571868,0.630404066635888,0.6499151662049861,0.3273156112086042,0.3638227783895253,0.34991870420709364,0.36355710981479195,0.3850151930161744,0.255624444608638,0.28727582476358976,0.27772801711346184,0.2895102897888359,0.29301127249227404
phecode_496,29,Chronic airway obstruction,respiratory,1253,5688,6941,0.18052153868318685,0.8399552935528951,0.8732277527663936,0.8709778497836459,0.7697320753616557,0.8684797676969562,0.6551567219657499,0.7005761456375503,0.7247026272392139,0.4912339704070253,0.6842627753877337,0.6649671692538079,0.7212956830557055,0.7258927631110665,0.49906340913993247,0.6646369214457915
phecode_994,30,Sepsis and SIRS,injuries & poisonings,1290,6185,7475,0.1725752508361204,0.6015556507943669,0.6821077351458783,0.6474287024714471,0.6661165873427619,0.671032965160139,0.33005415126928045,0.373874175061637,0.3572702960423358,0.3654713861217278,0.37805665758582496,0.26077006070891867,0.3025412515492912,0.28626056955428353,0.3178062535916549,0.30381567183975333
phecode_994.2,31,Sepsis,injuries & poisonings,1251,6185,7436,0.16823561054330283,0.5988054805812155,0.6878083976081205,0.6528130871627058,0.6684735913001532,0.6759838509919854,0.321024819356302,0.37359003196941715,0.35380056233630064,0.35979989499167897,0.3794509401486598,0.25695128441612203,0.30368299605203225,0.28440863476361666,0.31381872777037767,0.302076204589985
phecode_591,32,Urinary tract infection,genitourinary,1208,6123,7331,0.16477970263265584,0.5934711330083354,0.6382395990587462,0.6324646597254965,0.6464363961571237,0.6620763060113072,0.30763703268753795,0.3319143909965102,0.33011051958928805,0.3425619210496178,0.36271776365963865,0.2388426552322349,0.2504204592773638,0.25921534726276,0.2627584282656663,0.2656365648711874
